Sentence,encode_tags
nhỏ_nhặt nhưng ý_nghĩa và hạnh_phúc,2
hít đi cho no chứ mắc công lại chửi tao không biết_điều giở_trò trước mặt cẩu fa như mày,2
bả đòi cái gì vậy,4
cái thứ ba trời nhìn mà rơi nước_mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa,5
biết không,6
dù có sống được mấy_đời thì cũng nợ mẹ cha trọn cả mấy_đời,5
mấy cái tin này thường làm tan_nát tình_cảm gia_đình trong lúc ăn cơm xem thời_sự bố tổ_sư,1
cô tiên béo quá giọng còn the_thé nữa,1
lên_án nhiều rồi mà vẫn thế,1
thằng này ngu vãi,1
cây tre có tận trăm đốt luôn hả,6
nói tiếng tuy hoà phú yên làm tao nhớ đến nyc giọng nó sao ngọt không_thể tả buồn,5
mợ mệt trưa nào cũng nhìn mày nhai chóp_chép,1
đừng nên thích mấy ông anh cơ_bắp sợ lắm,3
có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không,2
tao đéo hiểu sao người_yêu tao đi cắt tóc về trông mặt ngáo đến kì_lạ,1
và khi quay lại nói_chuyện với nhau biết nói gì giờ huhu,5
thằng_cha bảo_vệ có tâm quá nge con nhỏ kêu nguyên đêm vậy mà đéo cứu,1
cũng mất_công đẻ mà sao mẹ chúng_nó đẻ ra lũ ngu thế haiz,1
tao thấy giống khùng với lại vô_duyên chứ hay gì,1
cần gì những thứ xa_hoa lộng_lẫy đâu dù chỉ <NUM> bông hoa nhưng đong đầy yêu_thương nhắn_tin đã cảm_thấy đủ hạnh_phúc rồi,2
tao gặp ngỗng chạy bỏ dép,3
vừa ngu vừa ngông thì thế làm trễ tàu của người_ta,1
sao nó trèo lên được hay vậy,6
khuôn_mặt ngây_thơ vô_số tội trái_tim nhỏ_bé của tao sao chịu được,2
cuộc_sống mà đành chịu thôi,5
cấp <NUM> đáng tiếc nhất trong thời học_sinh,5
mình đang nói phần_lớn thôi chứ tất_nhiên cũng có ngoại_lệ mà,4
thích chị này nhất phim í bé bé xinh_xinh lại diễn rất đạt <NUM> hy_vọng mai_sau sẽ có bước_tiến lớn và thành_công hơn nữa <NUM>,2
dạo này xem video của chán ấy không như xưa tại giờ toàn quảng_cáo ấy ý_kiến cá_nhân,1
tao thấy chả có gì thú_vị,4
vậy_mà củng chẳng hút được khách,6
khi nào lên chùa ba vàng giải được vong thì kết_hôn,2
thuở thiếu_thời ai chẳn có phút bốc_đồng nên cho nó một trận để răng đe,1
chắc phải <NUM> năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon,2
cận_cảnh cái bụng nước_lèo của bos xài hao vãi,1
bản_chất tham_lam của con_người thể_hiện ngay từ những việc nhỏ,4
em đi bộ chết mẹ đây này,5
thật tốt vì chú chó ấy đã tìm được người yêu_thương nó kiên_trì để nó tin_tưởng thật_sự `,2
phim này xem nam chính thôi nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm giận không ra giận vui không ra vui,1
nhìn mặt nó khó ưa thật chứ,1
lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah,4
giờ lên phường người_ta có phát chú_rể không nhỉ các bạn,4
một cái ngu thật sứng đáng,1
năm nay tao không còn cảm_thấy cô_đơn và mỏi chân nữa vì tao được ngồi mát và ăn ké socola of bọn có người_yêu # mun,2
hãy dùng một đời để minh chứng nhé,4
con mụ đen sai còn già_mồm,1
chỉ cần yên bình như thế này thôi,2
năm nay được nhận hoa và được ngồi nhìn người_ta hạnh_phúc,5
chỉ sợ lúc nó dí,3
hên là chay ra kip,2
im,0
tao cũng có <NUM> người bà như trong video nhưng bà ấy qua_đời rồi,5
đa ́ người yêuc quá ́,2
5tr là tiền bà yến cúng vong cho công_an phường quang trung để giải_oan_gia trái chủ của bà tiền_kiếp thôi chứ phạt g đâu xếp lớn của bà và xếp lớn của công_an phường là <NUM> ai lại đi đá gà nhà,1
kinh_dị vậy,3
thật may em đã gặp được người tài_xế tốt,2
bắn không trượt phát nào luôn à,6
tại_sao mày nằm viện mà vẫn xinh thế,6
đẹp_trai mà bị đá à,6
cho con được thay ông bán vé đi,5
lớp xuất_hiện thứ âm_binh,1
đọc bình_luận cười ẻ,2
cách này coi_bộ hay nha_,2
mặt đúng kiểu em hiểu cảm_giác phê của anh không không,2
thanh_niên suốt ngày hát karaoke max volum,1
lỡ câu_chuyện là thật thì sao chưa gì lên chửi người_ta là rẻ rách,1
bố mày ngứa_mắt lắm rồi đấy,0
thề địt_mẹ ngay đoạn hay cái lên nhạc + cast muốn đập điện_thoại vãi,0
cả đám súc_vật này,0
bố mấy thằng bệnh,1
thật khó để có cả <NUM> khi chúng_ta còn trẻ,5
nếu cảm_thấy không làm được thì nghỉ làm đi đã xin đi làm_thuê thì phải chấp_nhận thôi kêu than cái gì,1
may mình đi làm rồi chứ <NUM> năm trước chắc sẽ phát khổ với bố_mẹ vì mấy tin con nhà người_ta như thế_nào,2
còn em_trai cưng của tao sang nhà người_thân_quen của gia_đình chowi thế_là bị nhà họ nhốt lại hẳn <NUM> ngày liền dlm nhốt lại để em_trai tao bắt chuột cho nhà họ mới hãm lồn,1
mấy thằng này người_ta gọi là mấy thằng nhà_quê năm nào rồi còn túm <NUM> tụm <NUM> trêu gái,1
cô_giáo có tâm vời nghề ghêe,2
tiếc quá đẹp_trai mờ không có chim,5
crush ở nhà chơi gane rồi haha,2
nhìn st đồng_cảm khủng_khiếp,5
cài lò xô huyền_thoại,2
quên đào_tạo đạo_đức thôi mà báo làm căng vãi,1
đi bơi nên não bị úng nước à mấy thằng mặt lồn suy_đồi đạo_đức,1
cố_gắng lên mọi lỗ lực và công_lao của em sẽ được đền_đáp một_cách thật là sứng đáng cố_gắng lên em nhé,2
hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng_dáng mấy con đuỹ này là chuẩn_bị tinh_thần chạy chứ nó dí sấp_mặt luôn dù mình đéo làm gì nó hết vừa dí vừa ngoác mỏ hét sợ vãi ra,3
trốn cũng đéo tha,0
con gấu_trúc cho nó ăn trúc đi tướng ngồi nhìn cưng vãi,2
rồi lại im thôi 20k hay 5tr thì cũng vậy,5
cái lò huyền_thoại nè lúc mình ở chung đó,2
hi_vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ,3
tí nữa vợ nó vắt chân lên cổ bò thì hú_hồn,3
tuyệt_vời,2
trẻ_con bao_giờ ga_lăng sớm thế nhỉ hồi mình bằng bọn này đuổi đánh nhau hỡi chết,6
tính đi chạy xe mà mưa cho_nên ta ở nhà,4
nhìn nó cưng quá,2
chủ_tịch giả làm nhện và cái kết đừng bao_giờ xem_thường người khác,1
này thì cắt đức quan_hệ toàn_thể_hiện đụ mẹ nó,1
con_gái bây_giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình,1
hạnh_phúc to nè,2
độ ` thâm ` của bác phải gọi là ` bố ` của tàu,1
ông thần nhây vãi đái,2
tóm lại vẩn ế à,6
chả vị nước_mắt à,5
con lợn kia sao đập vào đầu vợ_bé của tao,0
tôi rất mong sử phạt giao_thông cũng mạnh_tay như thế_nào thì tốt,4
cứ sợ rớt điện_thoại sợ nhất_là lỡ khúc nào khó là té không_thể tả nổi,3
hình_như anh nay đóng phim ngây_ngô thì fải phim đó hay lắm các bạn nên xem,2
haha coi cái mặt con nhỏ thấy thương,2
khiếp nhớ ngày_xưa quá anh_em ơi đi làm cười từ sáng tới tối luôn,2
tự_nhiên tao cảm_thấy bị nhột nhột trong người mày ạ,4
tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế chả_bù cho mình lúc đéo nào cũng cười cuộc_sống tràn_ngập niềm vui <NUM>,2
không phải crush vậy nhưng mà nhìn ổng cười mỉm nhìn cute vãi,2
anh tặng vợ cái bát nha_kaka,2
tiêu_đề bộ phim cứ ngỡ là thể_loại hài nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này,2
như lol,0
bất_ngờ chưa,6
trời mới bắt_đầu mưa đéo lo thu thóc đi_đứng đó quay ngang quay dọc,0
ay đau thế thằng chó,0
có ai nhìn thấy hình_như người đàn_ông này đang rất đau_khổ không nhỉ mình nhận thấy hình_như ông ấy đang rất đau_khổ mà không_thể or không muốn nói ra,5
đm cho tù mọt_gông đi cái thứ không não,0
con tao mà bị như này cả nhà bon kia không quỳ mà xin thì xác con_mẹ định luôn,0
a nhìn những hình_ảnh này sao em nhớ về anh quá <NUM> năm ròng_rã giờ anh lưu_lạc nơi đâu,5
kiến phải loại kiến_lửa kiến_vàng còn loại kiến lấy cứt_trâu làm tổ này thì đốt gì hả ông zời,1
có nên áp_dụng với anh hàng_xóm không nhể,2
đáng yêuc quá,2
ok mà cần gì cứ cắt chất_lượng lại thôi vẫn bán giá vậy,4
làm như chỉ có chúng_mày biết yêu nhau ý,1
nói_chung là không nên uống chẳng bổ béo gì đâu,4
không nổi thì mình chìm haha,2
nóng_tính quá hỏng viẹc trẻ_em rất thích ngọt mình nên nhẹ_nhàng cương_quyết mới được,4
anh cũng bướng làm,4
mỗi lần như thế tao chửi mà bọn nó xem đó là trò_đùa mày ạ càng chửi càng cười,0
nhìn ma tiếc từng hạt trân_châu,5
thật cảm_động,2
trời_ơi tin được không,6
nhìn mặt hài vler,2
đấy gọi là biết ngu mà vẫn đâm_đầu_vào giống tao,2
một phút huy_hoàng rồi chợt tắt còn hơn le_lói giữa ngàn_thu,2
người_ngoài hành_tinh đi học tiếng anh rồi à vãi,1
đó là một câu_chuyện buồn,5
lỗi đạo_cụ,1
dạo này bị xàm à,1
như chết đi sống lại,5
bất_cứ lúc_nào nghĩ về đời tao chỉ thấy vị cay nồng nơi khóe mắt,5
điện cho đứa bạn đem mũ ra coi ai hơn ai kaka,2
thả tao ra để tao cắn chết mẹ nó,0
tao cứ thấy giống giống mày,2
vấn_đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau,1
giỏi thì tự đi mà thiết_kế các kiểu ở đó chỉ giỏi cào phím chê_bai thôi ông đã làm được gì am_hiểu gì mà chê này chê nọ,1
ngoài kia còn có rất nhiều điều tốt_đẹp vẫn còn trên thế giớ này hy_vọng những điều tốt_đẹp luôn diễn ra từng giây_phút,2
cưng hết_sức nà,2
học kiểu ăn_nói láp xược tại_sao không dạy xưng tôi hay tôi mà là tao đúng chất bắc láo,1
cái nệm này độ đàn_hồi đỉnh ghê,6
em lấy đi niềm tin chả lại cho anh những gì cũng vì anh vụng_về đánh_rơi hay càng xa_vời càng dễ mất anh chân_thành nên anh tổn_thương,5
con mèo khốn_nạn dám bóp vếu vợ tao à,0
giỏi quá ta cố_gắng phát_huy nha,6
giờ mà quay lại cái thời đi học tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa,4
ăn cả thế_giới đã,4
mấy cái thằng này xử bắn hết đi to xác không lo làm_ăn suốt ngày trộm_cắp,0
đưa lên để nhận đồng_cảm à họ sai họ chịu phạt còn người_ta đỗ xe như thế bạn chả có quyền gì đuổi người_ta cả bỏ dần tư_tưởng đường trước cửa_nhà ta là của ta đi,1
chú này tội lắm á,5
gọi phường cẩu đi thôi,0
link phim đéo có mà zo toàn gặp bình_luận xàm,1
chắc kiếp trước_gieo nghiệp kiếp này phải gánh thôi,5
hihi ảo_tưởng,2
hahah tao chưa nghe hoàn_chỉnh bài này lần nào,2
mình không quan_tâm giá_trị học_bổng bao_nhiêu mà tớ q tâm em đó sẽ dành những gì cho đất_nước sau khi học xong thôi he chúc_mừng em,2
thế nếu sóc lên xong gõ thì n có trào lên không nhỉ,4
<NUM> tên sủa giống nhau đêm_đêm thì rủ nhau hú,4
dân dùng bằng giả có được khiển_trách không nhỉ,4
vì mày là đống vỏ năm xưa mẹ mày đổ vào đầu bố mày nên ngày nào nhìn mặt_mày hắn cũng cay_cú như thế,1
người_ta chỉ muốn dụ mày rồi xin một trái thận,3
huhu trời ơi,5
lớp <NUM> mà viết kiểu này cô đánh gãy tay,3
con_gái chả thế con_trai đi đụ mẹ mày có nhận hàng_không,2
xoá mẹ nó đi pr cho nó làm gì,1
tao thích nhìn mắt của crush hơn là nhìn nó cười,2
hành_động đẹp,2
đập chết mẹ nó đi nó làm người_ta nhồi máu cơ tim có khác_nào giết người gián_tiếp mà ở mỹ gọi là giết người cấp_độ <NUM> đấy,1
đây là tao khi bảo ` tao biết đường mà tin tao `,2
tao nhớ tao đang xem x thì chưa cắm tai_nghe,5
chuẩn hài_lòng với những thứ mình đang có đừng mơ_mộng những thứ viển_vông,2
quẹo lựa mấy đứa ơi để lễ nay đặt vé luôn cho rồi nóng quá rồi,2
ai_đời cho kiến_đen đốt tr nta cho kiến_vàng đốt chứ ăn kì_cục,1
may quá tao đang nhà đắp chăn xem cảnh này chứ đông_vậy đi chắc chớt,4
mặt_mày nhìn chán thậc,1
cả <NUM> đứa đều trẻ_con yêu_đương kiểu này thì lsao mà tính_chuyện lâu_dài được,1
ê tao với mày mà đi cái cầu này chắc rớt ngay bước_đầu quá đã mặp rồi chân lùn nữa đi qua bằng niềm tin,3
đau_lòng quá,5
chơi mất vậy gặp tao là tiễn theo điện_thoại luôn,1
vụ này chắc xử nhanh hơn vụ trong thang_máy,2
lúc rài không gặp được mặt cờ rút nữa,5
dạo này cứ đổ_vỡ nhây nhớp là hấp_dẫn cư_dân mạng à tao thấy đéo đến mức buồn quá,1
giống tao hồi bé,2
có ai không bị giật_mình như tao không nhạt vãi,1
năm nay không được ăn dồi,5
ổng bị bắt rồi rồi lấy gì coi,5
thể_loại mới nè có vẻ phê,2
con nào cũng là con nhé con_trai tao tập từ nhỏ đã biết tự lo và phụ mẹ rồi,2
cái con yêu nghiê ̣ tao này hồi nhỏ nó phập vào đùi mình lần đầu nhìn thấy nó tươ ̉ người nó cũng hiền hiền như con vịt ai_ngờ mới bươ ́ c lại gần là nó di_́ rượt mình cái kết là bầm tím phần đùi đến giơ ̀ thấy nó là auto né,1
nhện kìa haha,2
đi tong một năm_học nhưng vẫn tốt_nghiệp,5
càng thân_thiết khi quay lưng càng đau_lòng,5
lâu rồi chưa nghe nghe lại vẫn hay và ngấm như ngày nào,2
tôi thấy tương_lai của tôi trong bức ảnh này d,4
đấu nhau to rồi phen này hay,2
có_thể bán lại cho tớ không,4
phí gì cũng cao nhất so với ngân hàg khác mà phục_vụ lại tệ nhất sau đợt này vcb mất nhiều khác hàg,1
xem đi xem_lại bao_nhiêu lần cũng không chán vẫn cảm_giác hồi_hộp,5
phải nói là hiền quá hiền luôn,2
phạt thế quá nhẹ,0
có bồ mà cũng sân si,1
trên đời sợ nhất mấy con trùn trùn như ri nhất là giun_đất với rắn đã từng bỏ tiết học_sinh_học mổ giun_đất,3
sao tao thấy đa_phần mấy đứa con_trai cắt tóc xong nhìn ngáo đéo chịu được vậy cười tét cả hàm chứ đùa,2
đơn_giản thôi nó giống như con chó vậy khi ta đuổi thì nó chạy khi ta chạy thì nó đuổi,4
ướp đông_lạnh luôn à,4
chờ tý tao đi thay bỉm xíu tao quay lại,3
có hiệu_quả không mới quan_trọng,4
sáng sớm đã đậm_chất ngôn tình tránh ra chỗ bà gym nào,1
anh chờ đáng yêu ghê,2
cười như cục cức trôi_sông lạc chợ,1
tao buồn mấy năm nay rồi,5
phải đối_xử tốt với chính bản_thân mình,2
chủ_động nói_chuyện nhắn_tin khi có time nhưng đời không như mơ,5
móa thiệt chứ tụi này nuôi làm gì vậy nhỉ,0
tao đang đi phân_khối lớn đây ai cũng kêu nhìn cá_tính vãi,2
động_lực để phụ_nữ chiến_đấu chính là gia_đình và bản_thân họ,4
mink chỉ lo là nhà_nước không đủ gạo nuôi mấy anh,5
sản_phẩm khá là mới_lạ trong việt_nam,6
chuẩn rồi nhiều khi mệt muốn xỉu xong đồng_nghiệp đùa nhau đôi ba câu hay kể cho nhau vài câu_chuyện thế_là lại vui trở_lại đồng_nghiệp quan_trọng thật_sự,2
ai trèo lên đưa cho ảnh cái áo_mưa đi kẻo ướt ảnh đó,4
hồi nhỏ bị con đỉ này dí lòi lol bị cắn bầm đen muốn thúi thịt luôn cả tháng hơn mới hết mà đươ ̣ c cái con này nuôi nó giữ nhà_cửa hay có nó không sợ ma_quỷ gì hết,3
chắc ổng chỉ ngồi <NUM> chỗ và để móng lên bàn nv chư tao nghĩ đi_lại cũng khó,1
nó mới ghé nhà tao đây,2
nhìn mặt là cười phọt rồi,2
cấm dừng đỗ đâu cụ thớt,4
đọc chả hiểu gì mất_gốc rồi,5
mạng lag chưa xem được nhưng vẫn vào bình_luận,4
em vợ có_thể ngủ với mẹ còn anh thì ngủ với em,2
cái giọng anh quay_phim nghe ngọt quá,2
đẹp_đôi vãi,2
như con ma tơi có ngày ném cho cái cốc vào mặt thì đừng trách,0
ổng để móng có <NUM> bàn_tay thôi còn bàn_tay kia vẫn sạch_sẽ bình_thường mà các cụ cứ hỏi chùi đít đanh răng quay tay kiểu gì là sao,4
chỉ thấy mất_dạy,1
vì nó biết mày còn <NUM> quả thận thôi con ạ rửa mặt đi vậy,1
tiền cắt tóc như kia đủ mua giày rồi vậy,5
trên phim thôi ngoài đời thì đứa con_gái uống xong ngất luôn hôm sau thì bị bán mẹ sang trung_quốc,4
đấy cổ_tích như thế có mà dân lại ngồi hết lên đầu pháp_luật tai_nạn tăng không ngừng_nghỉ ấy chứ,1
nếu không có lòng yêu_thương thì đừng nuôi,1
định_mệnh gớm vãi,1
kiểu xem đứa nào thắng,4
èo ngọt quá đi,2
lấy vợ xong bị tàn_phá là có thật béo vãi_chưởng,1
nếu người_ta sai thì gọi công_an xử_lý còn không thì bạn không có quyền nhé,1
t_thề hồi nhỏ qua nhà ông hàng_xóm vá xe tao bị con ngỗng dí chạy xúc quần quanh nhà ổng vừa chạy vừa la_làng tới giờ nhớ lại vẫn còn hãi,3
nó bướng vãi cứ làm theo ý mình,0
nghe như hát trầu văn,1
đúng rồi mà kệ nó tao đéo quan_tâm chụp cho ai thì chụp,4
nhà có người già vui thật nhỉ,2
tao nấu củi chưa nấu bằng rơm bao_giờ,4
bếp dầu trước_kia tôi đã thuờg dùng,4
ngọc ngọc đồng_nghiệp tốt,4
đời tao ghét con súc_sinh này vãi nhiều khi tao tự_vấn tao làm gì sai mà mỗi lần tao đi qua nó là y_như_rằng tao phải chạy như chó chứ không_thể_nào hiên_ngang đi <NUM> cách như người bình_thường,1
ờ phải rồi nói hay lắm đến lúc nó đậu trước cửa_nhà mình cả ngày xem có nhảy lên như khỉ đỏ đít không,0
tạm_biệt sếp và mong sớm có ngày sếp quay lại,4
tao dễ_thương nhưng vẫn ế đây này mơ_mộng ít thôi,5
má đụ mẹ cười ỉa,2
bà mẹ tháng cô_hồn nghèo_rớt mồng_tơi mà cứ chiếu_phim tiền đâu mà coi trời oi là troi,0
cái này nó giống câu em ăn cơm chưa vãi,6
bị rồi nè mua <NUM> ly rớt hết <NUM> ly,4
đây là <NUM> câu_chuyện buồn đó đừng có haha nha_per,1
chảy cả nói_chuyện mắt,4
